Date,Open,High,Low,Close,Volume
08/27/2008,44.29,44.47,42.92,43.18,"1,950,721"
08/28/2008,43.18,44.84,42.95,44.84,"2,152,044"
08/29/2008,44.84,46.12,44.84,45.21,"1,592,441"
09/01/2008,44.30,45.02,44.30,44.67,"394,618"
09/02/2008,44.50,46.69,44.35,46.32,"1,484,191"
09/03/2008,45.40,46.27,45.21,45.21,"1,495,841"
09/04/2008,45.40,45.55,43.92,43.92,"1,682,488"
09/05/2008,43.37,43.78,41.75,42.40,"2,461,201"
09/08/2008,43.69,44.75,43.46,44.10,"1,651,289"
09/09/2008,44.10,44.44,42.55,43.14,"984,343"
09/10/2008,43.08,43.14,41.96,42.30,"2,263,378"
09/11/2008,41.98,42.45,41.43,41.53,"2,216,269"
09/12/2008,42.18,42.26,41.30,41.34,"770,873"
09/15/2008,40.84,40.91,39.46,39.72,"2,600,545"
09/16/2008,39.44,40.60,37.83,38.30,"4,286,001"
09/17/2008,38.85,39.44,37.97,39.00,"3,845,714"
09/18/2008,37.83,40.02,37.65,38.76,"1,987,689"
09/19/2008,40.60,42.08,39.72,41.40,"4,518,409"
09/22/2008,41.71,42.40,41.20,42.38,"2,241,651"
09/23/2008,41.21,41.52,40.14,40.19,"2,844,513"
09/24/2008,40.32,40.78,39.82,39.82,"2,176,419"
09/25/2008,39.86,41.52,39.58,41.52,"2,410,161"
09/26/2008,40.60,41.71,40.30,41.43,"1,663,997"
09/29/2008,40.78,41.32,38.29,38.29,"1,729,206"
09/30/2008,36.91,40.60,36.91,40.05,"3,371,015"
10/01/2008,40.32,41.98,40.05,40.05,"2,648,175"
10/02/2008,41.04,41.25,39.86,40.59,"1,217,360"
10/03/2008,39.86,41.25,39.70,41.06,"1,491,571"
10/06/2008,39.31,39.68,37.46,37.85,"2,230,652"
10/07/2008,38.75,39.12,36.17,36.45,"2,989,351"
10/08/2008,34.33,37.36,33.64,35.31,"4,300,306"
10/09/2008,35.48,36.12,34.45,34.67,"3,883,652"
10/10/2008,31.51,32.75,28.36,32.30,"8,944,731"
10/13/2008,33.91,34.14,30.91,32.43,"4,845,128"
10/14/2008,34.65,35.01,32.66,33.03,"4,099,919"
10/15/2008,32.76,32.76,29.34,30.36,"4,533,541"
10/16/2008,28.14,29.80,27.96,28.60,"4,830,971"
10/17/2008,29.70,30.07,25.24,26.39,"7,522,213"
